"pcp-dstat 5.3.6 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","server6",,,,"User:","ahmet"
"Cmdline:","dstat --epoch -m --all -l --noheaders --nocolor --output hazelcast-simulator/workers/180128a5b39e75d75dfa60b9833d3d478f0f05db/A4_dstat.csv 5",,,,"Date:","23 Dec 2022 08:02:08 UTC"
"epoch","memory usage",,,,"total usage",,,,,"dsk/total",,"net/total",,"paging",,"system",,"load avg",,
"epoch","used","free","buf","cach","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","dsk/total:read","dsk/total:writ","net/total:recv","net/total:send","in","out","int","csw","1m","5m","15m"
1671782528,3503664,762510964,1936484,23256496,,,,,,,,0.080,0.070,0.200
1671782533,3521328,762525240,1936484,23224604,0.125,0.140,99.708,0,0,0,77.517,3942.577,3496.854,0,0,3570,4413,0.070,0.060,0.200
1671782538,3518380,762528092,1936484,23224700,0.005,0.005,99.955,0,0,0,193.620,39203.477,2141.023,0,0,1448,2585,0.070,0.060,0.200
1671782543,3517684,762528596,1936484,23224892,0.005,0,99.951,0,0,0,26.400,42677.967,1760.415,0,0,1289,2459,0.060,0.060,0.200
1671782548,3517192,762528704,1936484,23225276,0.020,0.005,99.945,0,0,0,44.000,84985.298,3544.596,0,0,1552,3034,0.060,0.060,0.200
1671782553,3516892,762528204,1936484,23226076,0.015,0.020,99.950,0,0,0,86.400,167462.233,5490.195,0,0,2010,3862,0.050,0.060,0.200
1671782558,3515676,762529260,1936484,23226236,0.020,0,99.930,0,0,0,172.799,2520.389,170.399,0,0,1327,2830,0.050,0.060,0.190
1671782563,3514280,762529280,1936484,23227612,0.010,0.045,99.915,0,0,0,7.200,334812.004,10993.033,0,0,2809,5230,0.040,0.060,0.190
1671782568,3513508,762530044,1936484,23227620,0.010,0,99.980,0,0,0,4.000,401.001,16.200,0,0,989,1946,0.040,0.060,0.190
