"pcp-dstat 5.3.6 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","server7",,,,"User:","ahmet"
"Cmdline:","dstat --epoch -m --all -l --noheaders --nocolor --output hazelcast-simulator/workers/9e09cbb246cb918bf366a4b339f78c20ef570c1c/A1_dstat.csv 5",,,,"Date:","23 Dec 2022 08:23:43 UTC"
"epoch","memory usage",,,,"total usage",,,,,"dsk/total",,"net/total",,"paging",,"system",,"load avg",,
"epoch","used","free","buf","cach","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","dsk/total:read","dsk/total:writ","net/total:recv","net/total:send","in","out","int","csw","1m","5m","15m"
1671783823,3608484,777310688,2265964,8149780,,,,,,,,0.120,0.230,0.350
1671783828,3653496,777300752,2265964,8114712,0.270,0.135,99.561,0,0,0,53.539,15082.969,4066.954,0,0,3724,5255,0.110,0.230,0.350
1671783833,3651932,777301868,2265964,8115160,0.020,0.020,99.938,0,0,0,246.421,104061.204,3873.928,0,0,1875,3087,0.110,0.220,0.340
1671783838,3651268,777301988,2265964,8115704,0.010,0.015,99.933,0,0,0,8.000,115043.099,4177.305,0,0,1772,2903,0.100,0.220,0.340
1671783843,3650164,777302036,2265964,8116760,0.015,0.005,99.934,0,0,0,8.800,220816.597,9784.867,0,0,2712,3850,0.090,0.210,0.340
1671783848,3648904,777303296,2265964,8116760,0.005,0,99.955,0,0,0,8.800,9383.245,440.802,0,0,1125,2129,0.080,0.210,0.340
1671783853,3646984,777303964,2265964,8118012,0.035,0.025,99.915,0,0,0,4.800,335235.267,11025.202,0,0,3366,4491,0.070,0.210,0.340
1671783858,3645364,777305532,2265964,8118064,0.040,0.010,99.920,0,0,0,10.400,17420.341,587.398,0,0,1633,2244,0.070,0.200,0.330
1671783863,3645032,777304836,2265964,8119092,0.020,0.010,99.935,0,0,0,29.600,272999.964,11398.207,0,0,2877,2250,0.060,0.200,0.330
1671783868,3643168,777306700,2265964,8119092,0.005,0.005,99.966,0,0,0,784.806,177.401,32.600,0,0,1096,2134,0.060,0.200,0.330
1671783873,3640512,777308172,2265964,8120276,0.015,0.010,99.944,0,0,0,4.000,123488.733,6500.565,0,0,2000,2856,0.050,0.190,0.330
1671783878,3638844,777309264,2265964,8120852,0.010,0.010,99.940,0,0,0,8.000,127874.860,3804.414,0,0,1856,3004,0.050,0.190,0.330
1671783883,3637580,777310524,2265964,8120856,0.035,0.005,99.945,0,0,0,8.000,166.999,32.400,0,0,1055,2108,0.040,0.190,0.320
