epoch,timestamp,operations,operations-delta,operations/second
1671784165.762,23/12/2022 08:29:25,18293,18293,18274.725
1671784166.763,23/12/2022 08:29:26,35148,16855,16838.162
1671784167.763,23/12/2022 08:29:27,52028,16880,16880
1671784168.763,23/12/2022 08:29:28,68581,16553,16553
1671784169.763,23/12/2022 08:29:29,85903,17322,17322
1671784170.763,23/12/2022 08:29:30,103662,17759,17759
1671784171.763,23/12/2022 08:29:31,121200,17538,17538
1671784172.763,23/12/2022 08:29:32,138664,17464,17464
1671784173.764,23/12/2022 08:29:33,155813,17149,17131.868
1671784174.764,23/12/2022 08:29:34,172708,16895,16895
1671784175.764,23/12/2022 08:29:35,190436,17728,17728
1671784176.764,23/12/2022 08:29:36,207895,17459,17459
1671784177.764,23/12/2022 08:29:37,225234,17339,17339
1671784178.764,23/12/2022 08:29:38,242545,17311,17311
1671784179.764,23/12/2022 08:29:39,258571,16026,16026
1671784180.765,23/12/2022 08:29:40,275836,17265,17247.752
1671784181.765,23/12/2022 08:29:41,293645,17809,17809
1671784182.765,23/12/2022 08:29:42,311286,17641,17641
1671784183.765,23/12/2022 08:29:43,328460,17174,17174
1671784184.765,23/12/2022 08:29:44,345764,17304,17304
1671784185.765,23/12/2022 08:29:45,363361,17597,17597
1671784186.765,23/12/2022 08:29:46,380790,17429,17429
1671784187.765,23/12/2022 08:29:47,397590,16800,16800
1671784188.766,23/12/2022 08:29:48,414704,17114,17096.903
1671784189.766,23/12/2022 08:29:49,432230,17526,17526
1671784190.766,23/12/2022 08:29:50,449656,17426,17426
1671784191.766,23/12/2022 08:29:51,467470,17814,17814
1671784192.766,23/12/2022 08:29:52,485359,17889,17889
1671784193.766,23/12/2022 08:29:53,502485,17126,17126
1671784194.766,23/12/2022 08:29:54,518768,16283,16283
1671784195.766,23/12/2022 08:29:55,535467,16699,16699
1671784196.767,23/12/2022 08:29:56,553249,17782,17764.236
1671784197.767,23/12/2022 08:29:57,571030,17781,17781
1671784198.767,23/12/2022 08:29:58,588280,17250,17250
1671784199.767,23/12/2022 08:29:59,606073,17793,17793
1671784200.767,23/12/2022 08:30:00,623393,17320,17320
1671784201.767,23/12/2022 08:30:01,639903,16510,16510
1671784202.767,23/12/2022 08:30:02,657080,17177,17177
1671784203.767,23/12/2022 08:30:03,675236,18156,18156
1671784204.767,23/12/2022 08:30:04,693222,17986,17986
1671784205.768,23/12/2022 08:30:05,710976,17754,17736.264
1671784206.768,23/12/2022 08:30:06,728939,17963,17963
1671784207.768,23/12/2022 08:30:07,746361,17422,17422
1671784208.768,23/12/2022 08:30:08,763116,16755,16755
1671784209.768,23/12/2022 08:30:09,780659,17543,17543
1671784210.768,23/12/2022 08:30:10,798764,18105,18105
1671784211.768,23/12/2022 08:30:11,817006,18242,18242
1671784212.768,23/12/2022 08:30:12,835015,18009,18009
1671784213.768,23/12/2022 08:30:13,853091,18076,18076
1671784214.769,23/12/2022 08:30:14,869674,16583,16566.434
1671784215.769,23/12/2022 08:30:15,886664,16990,16990
1671784216.769,23/12/2022 08:30:16,904166,17502,17502
1671784217.769,23/12/2022 08:30:17,921671,17505,17505
1671784218.769,23/12/2022 08:30:18,939378,17707,17707
1671784219.769,23/12/2022 08:30:19,957497,18119,18119
1671784220.769,23/12/2022 08:30:20,975469,17972,17972
1671784221.769,23/12/2022 08:30:21,992985,17516,17516
1671784222.769,23/12/2022 08:30:22,1009296,16311,16311
1671784223.769,23/12/2022 08:30:23,1027256,17960,17960
1671784224.77,23/12/2022 08:30:24,1045138,17882,17864.136
