epoch,timestamp,operations,operations-delta,operations/second
1671784165.762,23/12/2022 08:29:25,1061,1061,1059.94
1671784166.763,23/12/2022 08:29:26,2085,1024,1022.977
1671784167.763,23/12/2022 08:29:27,3152,1067,1067
1671784168.763,23/12/2022 08:29:28,4179,1027,1027
1671784169.763,23/12/2022 08:29:29,5274,1095,1095
1671784170.763,23/12/2022 08:29:30,6329,1055,1055
1671784171.763,23/12/2022 08:29:31,7382,1053,1053
1671784172.763,23/12/2022 08:29:32,8428,1046,1046
1671784173.764,23/12/2022 08:29:33,9490,1062,1060.939
1671784174.764,23/12/2022 08:29:34,10523,1033,1033
1671784175.764,23/12/2022 08:29:35,11587,1064,1064
1671784176.764,23/12/2022 08:29:36,12667,1080,1080
1671784177.764,23/12/2022 08:29:37,13750,1083,1083
1671784178.764,23/12/2022 08:29:38,14824,1074,1074
1671784179.764,23/12/2022 08:29:39,15780,956,956
1671784180.765,23/12/2022 08:29:40,16849,1069,1067.932
1671784181.765,23/12/2022 08:29:41,17935,1086,1086
1671784182.765,23/12/2022 08:29:42,19001,1066,1066
1671784183.765,23/12/2022 08:29:43,20088,1087,1087
1671784184.765,23/12/2022 08:29:44,21168,1080,1080
1671784185.765,23/12/2022 08:29:45,22268,1100,1100
1671784186.765,23/12/2022 08:29:46,23324,1056,1056
1671784187.765,23/12/2022 08:29:47,24360,1036,1036
1671784188.766,23/12/2022 08:29:48,25394,1034,1032.967
1671784189.766,23/12/2022 08:29:49,26466,1072,1072
1671784190.766,23/12/2022 08:29:50,27592,1126,1126
1671784191.766,23/12/2022 08:29:51,28675,1083,1083
1671784192.766,23/12/2022 08:29:52,29740,1065,1065
1671784193.766,23/12/2022 08:29:53,30773,1033,1033
1671784194.766,23/12/2022 08:29:54,31838,1065,1065
1671784195.766,23/12/2022 08:29:55,32908,1070,1070
1671784196.767,23/12/2022 08:29:56,34006,1098,1096.903
1671784197.767,23/12/2022 08:29:57,35083,1077,1077
1671784198.767,23/12/2022 08:29:58,36145,1062,1062
1671784199.767,23/12/2022 08:29:59,37229,1084,1084
1671784200.767,23/12/2022 08:30:00,38295,1066,1066
1671784201.767,23/12/2022 08:30:01,39335,1040,1040
1671784202.767,23/12/2022 08:30:02,40410,1075,1075
1671784203.767,23/12/2022 08:30:03,41517,1107,1107
1671784204.767,23/12/2022 08:30:04,42591,1074,1074
1671784205.768,23/12/2022 08:30:05,43689,1098,1096.903
1671784206.768,23/12/2022 08:30:06,44788,1099,1099
1671784207.768,23/12/2022 08:30:07,45818,1030,1030
1671784208.768,23/12/2022 08:30:08,46806,988,988
1671784209.768,23/12/2022 08:30:09,47892,1086,1086
1671784210.768,23/12/2022 08:30:10,48981,1089,1089
1671784211.768,23/12/2022 08:30:11,50051,1070,1070
1671784212.768,23/12/2022 08:30:12,51138,1087,1087
1671784213.768,23/12/2022 08:30:13,52203,1065,1065
1671784214.769,23/12/2022 08:30:14,53250,1047,1045.954
1671784215.769,23/12/2022 08:30:15,54304,1054,1054
1671784216.769,23/12/2022 08:30:16,55394,1090,1090
1671784217.769,23/12/2022 08:30:17,56459,1065,1065
1671784218.769,23/12/2022 08:30:18,57534,1075,1075
1671784219.769,23/12/2022 08:30:19,58632,1098,1098
1671784220.769,23/12/2022 08:30:20,59737,1105,1105
1671784221.769,23/12/2022 08:30:21,60771,1034,1034
1671784222.769,23/12/2022 08:30:22,61785,1014,1014
1671784223.769,23/12/2022 08:30:23,62886,1101,1101
1671784224.77,23/12/2022 08:30:24,63978,1092,1090.909
1671784225.77,23/12/2022 08:30:25,65082,1104,1104
1671784226.77,23/12/2022 08:30:26,66166,1084,1084
1671784227.77,23/12/2022 08:30:27,67256,1090,1090
1671784228.77,23/12/2022 08:30:28,68352,1096,1096
1671784229.77,23/12/2022 08:30:29,69384,1032,1032
1671784230.77,23/12/2022 08:30:30,70459,1075,1075
1671784231.77,23/12/2022 08:30:31,71561,1102,1102
1671784232.771,23/12/2022 08:30:32,72651,1090,1088.911
1671784233.771,23/12/2022 08:30:33,73715,1064,1064
1671784234.771,23/12/2022 08:30:34,74824,1109,1109
1671784235.771,23/12/2022 08:30:35,75909,1085,1085
1671784236.771,23/12/2022 08:30:36,76978,1069,1069
1671784237.771,23/12/2022 08:30:37,78020,1042,1042
1671784238.771,23/12/2022 08:30:38,79127,1107,1107
1671784239.771,23/12/2022 08:30:39,80189,1062,1062
1671784240.771,23/12/2022 08:30:40,81273,1084,1084
1671784241.771,23/12/2022 08:30:41,82277,1004,1004
1671784242.771,23/12/2022 08:30:42,83400,1123,1123
1671784243.772,23/12/2022 08:30:43,84498,1098,1096.903
1671784244.772,23/12/2022 08:30:44,85603,1105,1105
1671784245.772,23/12/2022 08:30:45,86681,1078,1078
1671784246.772,23/12/2022 08:30:46,87745,1064,1064
1671784247.772,23/12/2022 08:30:47,88816,1071,1071
1671784248.772,23/12/2022 08:30:48,89897,1081,1081
1671784249.772,23/12/2022 08:30:49,90917,1020,1020
1671784250.772,23/12/2022 08:30:50,91986,1069,1069
1671784251.772,23/12/2022 08:30:51,93020,1034,1034
1671784252.772,23/12/2022 08:30:52,94113,1093,1093
1671784253.773,23/12/2022 08:30:53,95213,1100,1098.901
1671784254.773,23/12/2022 08:30:54,96326,1113,1113
1671784255.773,23/12/2022 08:30:55,97438,1112,1112
1671784256.773,23/12/2022 08:30:56,98460,1022,1022
1671784257.773,23/12/2022 08:30:57,99555,1095,1095
1671784258.773,23/12/2022 08:30:58,100689,1134,1134
1671784259.773,23/12/2022 08:30:59,101757,1068,1068
1671784260.773,23/12/2022 08:31:00,102869,1112,1112
1671784261.773,23/12/2022 08:31:01,103929,1060,1060
1671784262.774,23/12/2022 08:31:02,105031,1102,1100.899
1671784263.774,23/12/2022 08:31:03,106136,1105,1105
1671784264.774,23/12/2022 08:31:04,107249,1113,1113
1671784265.774,23/12/2022 08:31:05,108324,1075,1075
1671784266.774,23/12/2022 08:31:06,109381,1057,1057
1671784267.774,23/12/2022 08:31:07,110496,1115,1115
1671784268.774,23/12/2022 08:31:08,111528,1032,1032
1671784269.774,23/12/2022 08:31:09,112614,1086,1086
1671784270.774,23/12/2022 08:31:10,113692,1078,1078
1671784271.774,23/12/2022 08:31:11,114793,1101,1101
1671784272.775,23/12/2022 08:31:12,115873,1080,1078.921
1671784273.775,23/12/2022 08:31:13,116966,1093,1093
1671784274.775,23/12/2022 08:31:14,118064,1098,1098
1671784275.775,23/12/2022 08:31:15,119167,1103,1103
1671784276.775,23/12/2022 08:31:16,120207,1040,1040
1671784277.775,23/12/2022 08:31:17,121312,1105,1105
1671784278.775,23/12/2022 08:31:18,122295,983,983
1671784279.775,23/12/2022 08:31:19,123369,1074,1074
1671784280.775,23/12/2022 08:31:20,124479,1110,1110
1671784281.775,23/12/2022 08:31:21,125555,1076,1076
1671784282.776,23/12/2022 08:31:22,126627,1072,1070.929
1671784283.776,23/12/2022 08:31:23,127699,1072,1072
1671784284.776,23/12/2022 08:31:24,128810,1111,1111
1671784285.776,23/12/2022 08:31:25,129914,1104,1104
1671784286.776,23/12/2022 08:31:26,131061,1147,1147
1671784287.776,23/12/2022 08:31:27,132147,1086,1086
1671784288.776,23/12/2022 08:31:28,133227,1080,1080
1671784289.776,23/12/2022 08:31:29,134325,1098,1098
1671784290.776,23/12/2022 08:31:30,135410,1085,1085
1671784291.776,23/12/2022 08:31:31,136448,1038,1038
1671784292.776,23/12/2022 08:31:32,137534,1086,1086
1671784293.777,23/12/2022 08:31:33,138661,1127,1125.874
1671784294.777,23/12/2022 08:31:34,139720,1059,1059
1671784295.777,23/12/2022 08:31:35,140811,1091,1091
1671784296.777,23/12/2022 08:31:36,141839,1028,1028
1671784297.777,23/12/2022 08:31:37,142954,1115,1115
1671784298.777,23/12/2022 08:31:38,144021,1067,1067
1671784299.777,23/12/2022 08:31:39,145116,1095,1095
1671784300.777,23/12/2022 08:31:40,146240,1124,1124
1671784301.777,23/12/2022 08:31:41,147351,1111,1111
1671784302.777,23/12/2022 08:31:42,148437,1086,1086
1671784303.778,23/12/2022 08:31:43,149563,1126,1124.875
1671784304.778,23/12/2022 08:31:44,150686,1123,1123
1671784305.778,23/12/2022 08:31:45,151782,1096,1096
1671784306.778,23/12/2022 08:31:46,152897,1115,1115
1671784307.778,23/12/2022 08:31:47,153975,1078,1078
1671784308.778,23/12/2022 08:31:48,155061,1086,1086
1671784309.778,23/12/2022 08:31:49,156190,1129,1129
1671784310.778,23/12/2022 08:31:50,157233,1043,1043
1671784311.778,23/12/2022 08:31:51,158350,1117,1117
1671784312.778,23/12/2022 08:31:52,159460,1110,1110
1671784313.778,23/12/2022 08:31:53,160479,1019,1019
