epoch,timestamp,operations,operations-delta,operations/second
1671784165.762,23/12/2022 08:29:25,39728,39728,39688.312
1671784166.763,23/12/2022 08:29:26,76641,36913,36876.124
1671784167.763,23/12/2022 08:29:27,113434,36793,36793
1671784168.763,23/12/2022 08:29:28,149807,36373,36373
1671784169.763,23/12/2022 08:29:29,187616,37809,37809
1671784170.763,23/12/2022 08:29:30,226414,38798,38798
1671784171.763,23/12/2022 08:29:31,264734,38320,38320
1671784172.763,23/12/2022 08:29:32,302856,38122,38122
1671784173.764,23/12/2022 08:29:33,340198,37342,37304.695
1671784174.764,23/12/2022 08:29:34,377178,36980,36980
1671784175.764,23/12/2022 08:29:35,415905,38727,38727
1671784176.764,23/12/2022 08:29:36,454048,38143,38143
1671784177.764,23/12/2022 08:29:37,491874,37826,37826
1671784178.764,23/12/2022 08:29:38,529726,37852,37852
1671784179.764,23/12/2022 08:29:39,564758,35032,35032
1671784180.765,23/12/2022 08:29:40,602280,37522,37484.515
1671784181.765,23/12/2022 08:29:41,641174,38894,38894
1671784182.765,23/12/2022 08:29:42,679692,38518,38518
1671784183.765,23/12/2022 08:29:43,717293,37601,37601
1671784184.765,23/12/2022 08:29:44,755085,37792,37792
1671784185.765,23/12/2022 08:29:45,793539,38454,38454
1671784186.765,23/12/2022 08:29:46,831614,38075,38075
1671784187.765,23/12/2022 08:29:47,868386,36772,36772
1671784188.766,23/12/2022 08:29:48,905932,37546,37508.492
1671784189.766,23/12/2022 08:29:49,944382,38450,38450
1671784190.766,23/12/2022 08:29:50,982537,38155,38155
1671784191.766,23/12/2022 08:29:51,1021556,39019,39019
1671784192.766,23/12/2022 08:29:52,1060458,38902,38902
1671784193.766,23/12/2022 08:29:53,1097784,37326,37326
1671784194.766,23/12/2022 08:29:54,1133452,35668,35668
1671784195.766,23/12/2022 08:29:55,1170029,36577,36577
1671784196.767,23/12/2022 08:29:56,1208838,38809,38770.23
1671784197.767,23/12/2022 08:29:57,1247552,38714,38714
1671784198.767,23/12/2022 08:29:58,1285091,37539,37539
1671784199.767,23/12/2022 08:29:59,1323963,38872,38872
1671784200.767,23/12/2022 08:30:00,1361705,37742,37742
1671784201.767,23/12/2022 08:30:01,1397750,36045,36045
1671784202.767,23/12/2022 08:30:02,1435395,37645,37645
1671784203.767,23/12/2022 08:30:03,1474946,39551,39551
1671784204.767,23/12/2022 08:30:04,1514245,39299,39299
1671784205.768,23/12/2022 08:30:05,1553109,38864,38825.175
1671784206.768,23/12/2022 08:30:06,1592381,39272,39272
1671784207.768,23/12/2022 08:30:07,1630266,37885,37885
1671784208.768,23/12/2022 08:30:08,1666867,36601,36601
1671784209.768,23/12/2022 08:30:09,1705362,38495,38495
1671784210.768,23/12/2022 08:30:10,1744782,39420,39420
1671784211.768,23/12/2022 08:30:11,1784358,39576,39576
1671784212.768,23/12/2022 08:30:12,1823718,39360,39360
1671784213.768,23/12/2022 08:30:13,1863167,39449,39449
1671784214.769,23/12/2022 08:30:14,1899541,36374,36337.662
1671784215.769,23/12/2022 08:30:15,1936973,37432,37432
1671784216.769,23/12/2022 08:30:16,1975621,38648,38648
1671784217.769,23/12/2022 08:30:17,2014275,38654,38654
1671784218.769,23/12/2022 08:30:18,2053052,38777,38777
1671784219.769,23/12/2022 08:30:19,2092712,39660,39660
1671784220.769,23/12/2022 08:30:20,2132169,39457,39457
1671784221.769,23/12/2022 08:30:21,2170481,38312,38312
1671784222.769,23/12/2022 08:30:22,2206433,35952,35952
1671784223.769,23/12/2022 08:30:23,2246011,39578,39578
1671784224.77,23/12/2022 08:30:24,2285229,39218,39178.821
1671784225.77,23/12/2022 08:30:25,2324218,38989,38989
1671784226.77,23/12/2022 08:30:26,2363403,39185,39185
1671784227.77,23/12/2022 08:30:27,2401830,38427,38427
1671784228.77,23/12/2022 08:30:28,2440415,38585,38585
1671784229.77,23/12/2022 08:30:29,2476928,36513,36513
1671784230.77,23/12/2022 08:30:30,2515788,38860,38860
1671784231.77,23/12/2022 08:30:31,2554098,38310,38310
1671784232.771,23/12/2022 08:30:32,2592472,38374,38335.664
1671784233.771,23/12/2022 08:30:33,2628772,36300,36300
1671784234.771,23/12/2022 08:30:34,2667448,38676,38676
1671784235.771,23/12/2022 08:30:35,2706808,39360,39360
1671784236.771,23/12/2022 08:30:36,2745836,39028,39028
1671784237.771,23/12/2022 08:30:37,2785077,39241,39241
1671784238.771,23/12/2022 08:30:38,2824366,39289,39289
1671784239.771,23/12/2022 08:30:39,2862277,37911,37911
1671784240.771,23/12/2022 08:30:40,2901146,38869,38869
1671784241.771,23/12/2022 08:30:41,2936546,35400,35400
1671784242.771,23/12/2022 08:30:42,2975784,39238,39238
1671784243.772,23/12/2022 08:30:43,3015446,39662,39622.378
